label,begin,end,speaker,sex,discourse,following_word_transcription,word,word_begin,word_end,time,H1_A1,H1_A2,H1_A3,H1_H2
IH0,0.11,0.19,121,F,121-127105-0017,W.AH0.Z,it,0.11,0.23,0.1860,-1.0009471625796422,1.5006455428157537,7.237260603977319,4.997924853441056
AY1,0.12,0.47,121,F,121-127105-0030,D.OW1.N.T,i,0.12,0.47,0.2420,1.3637588705979837,-4.339812986792339,14.371078726362473,8.512840286238152
AY1,0.12,0.47,121,F,121-127105-0030,D.OW1.N.T,i,0.12,0.47,0.2770,-3.162944807633842,-10.28074188816609,9.386842552467296,3.0006509166026305
AY1,0.12,0.47,121,F,121-127105-0030,D.OW1.N.T,i,0.12,0.47,0.3120,-0.22213568953001328,-4.186430664686682,3.493920129679015,7.216396148577985
AY1,0.12,0.47,121,F,121-127105-0030,D.OW1.N.T,i,0.12,0.47,0.3470,2.4394982440737607,5.887452344326036,8.569562834801623,8.197331092203584
AY1,0.12,0.47,121,F,121-127105-0030,D.OW1.N.T,i,0.12,0.47,0.3820,-0.0964741486715397,15.434160449833755,13.243945869478026,9.18945749652141
AY1,0.12,0.47,121,F,121-127105-0030,D.OW1.N.T,i,0.12,0.47,0.4170,2.92612036340147,37.9742516861397,34.91568990231289,2.92612036340147
UW1,0.15,0.22,121,F,121-127105-0013,IY1.Z.AH0.L.IY0,you'll,0.08,0.3,0.1750,-7.768820372760771,3.1464246376870797,8.587654267954498,-7.768820372760771
UW1,0.15,0.22,121,F,121-127105-0013,IY1.Z.AH0.L.IY0,you'll,0.08,0.3,0.1820,-1.3422734538319574,6.657220513144342,15.909086694007229,-3.656413951186771
UW1,0.15,0.22,121,F,121-127105-0013,IY1.Z.AH0.L.IY0,you'll,0.08,0.3,0.1890,12.89757389238764,12.145954565399666,13.74634671555308,-0.5647480512459211
UW1,0.15,0.22,121,F,121-127105-0013,IY1.Z.AH0.L.IY0,you'll,0.08,0.3,0.1960,-4.091824802071287,3.723420233462882,6.960942704535004,-5.410971159420001
UW1,0.15,0.22,121,F,121-127105-0013,IY1.Z.AH0.L.IY0,you'll,0.08,0.3,0.2030,-6.7230098950344725,0.8136913532814489,10.67123705298798,-7.8572853075665705
UW1,0.15,0.22,121,F,121-127105-0013,IY1.Z.AH0.L.IY0,you'll,0.08,0.3,0.2100,4.6307805727851985,4.041322565332138,14.05336409683671,-2.5043070607132094
UW1,0.15,0.22,121,F,121-127105-0013,IY1.Z.AH0.L.IY0,you'll,0.08,0.3,0.2170,-6.597389694592309,-1.000385169822387,10.138572444709993,-6.597389694592309
IH1,0.18,0.23,121,F,121-127105-0019,G.R.IH1.F.IH0.N,missus,0.11,0.42,0.1830,1.9401004003146696,25.99658191970078,29.965141271846964,-0.3068401555595557
IH1,0.18,0.23,121,F,121-127105-0019,G.R.IH1.F.IH0.N,missus,0.11,0.42,0.1880,8.619351162259441,27.330919037313134,31.567970440315268,2.2622345004356106
IH1,0.18,0.23,121,F,121-127105-0019,G.R.IH1.F.IH0.N,missus,0.11,0.42,0.1930,1.5513170699619785,11.973612280519255,24.04857736886777,-0.5758344104307049
IH1,0.18,0.23,121,F,121-127105-0019,G.R.IH1.F.IH0.N,missus,0.11,0.42,0.1980,0.37014132303161773,9.359035333831276,26.122779730010933,0.4389656466492582
IH1,0.18,0.23,121,F,121-127105-0019,G.R.IH1.F.IH0.N,missus,0.11,0.42,0.2030,1.399862908780655,12.356919479650681,21.10948907136843,8.778302524189233
IH1,0.18,0.23,121,F,121-127105-0019,G.R.IH1.F.IH0.N,missus,0.11,0.42,0.2080,-0.13383197999123553,11.071236397967922,20.06240009902356,0.29589800690101953
IH1,0.18,0.23,121,F,121-127105-0019,G.R.IH1.F.IH0.N,missus,0.11,0.42,0.2130,1.200067066052263,11.017668123382208,26.14725092230192,-0.4375435558062364
IH1,0.18,0.23,121,F,121-127105-0019,G.R.IH1.F.IH0.N,missus,0.11,0.42,0.2180,2.4445343884735955,10.126520002819206,19.287674837258844,-0.7384546082446874
IH1,0.18,0.23,121,F,121-127105-0019,G.R.IH1.F.IH0.N,missus,0.11,0.42,0.2230,9.356826846722935,6.949619087601963,13.499482507036554,2.434099805921125
IH1,0.18,0.23,121,F,121-127105-0019,G.R.IH1.F.IH0.N,missus,0.11,0.42,0.2280,1.8930704547834942,-2.5861578610238425,0.1325059808381681,-1.6888667086791784
AO1,0.19,0.39,121,F,121-121726-0000,EY1,also,0.19,0.82,0.2400,-10.680516377216737,-4.9781207648677,8.971949260483061,3.0665312640061515
AO1,0.19,0.39,121,F,121-121726-0000,EY1,also,0.19,0.82,0.2600,-20.290691530219878,-22.29129165984288,-1.0856597909234225,-9.152998391668778
